ff861bb2900095{"ppm": 443, "dt": "2020-11-25T17:58:10.418737"}
ff861b6290009a{"ppm": 438, "dt": "2020-11-25T17:58:42.479383"}
ff861c92900087{"ppm": 457, "dt": "2020-11-25T17:59:14.540315"}
ff861c92800088{"ppm": 457, "dt": "2020-11-25T17:59:46.600390"}
ff861cb2900085{"ppm": 459, "dt": "2020-11-25T18:00:18.661257"}
ff861cc2800085{"ppm": 460, "dt": "2020-11-25T18:00:50.721986"}
ff861cf2800082{"ppm": 463, "dt": "2020-11-25T18:01:22.781915"}
ff861d2280007f{"ppm": 466, "dt": "2020-11-25T18:01:54.841902"}
ff861ce2800083{"ppm": 462, "dt": "2020-11-25T18:02:26.902594"}
ff861ca2800087{"ppm": 458, "dt": "2020-11-25T18:02:58.962881"}
ff861cc2800085{"ppm": 460, "dt": "2020-11-25T18:03:31.023282"}
ff861cb2800086{"ppm": 459, "dt": "2020-11-25T18:04:03.083165"}
ff861cb2800086{"ppm": 459, "dt": "2020-11-25T18:04:35.143695"}
ff861ce2800083{"ppm": 462, "dt": "2020-11-25T18:05:07.203684"}
ff861c7280008a{"ppm": 455, "dt": "2020-11-25T18:05:39.250456"}
ff861c6280008b{"ppm": 454, "dt": "2020-11-25T18:06:11.301009"}
ff861c82800089{"ppm": 456, "dt": "2020-11-25T18:06:43.361138"}
ff861c6280008b{"ppm": 454, "dt": "2020-11-25T18:07:15.421388"}
ff861c2280008f{"ppm": 450, "dt": "2020-11-25T18:07:47.481686"}
ff861c5280008c{"ppm": 453, "dt": "2020-11-25T18:08:19.541757"}
ff861bd2800094{"ppm": 445, "dt": "2020-11-25T18:08:51.603585"}
ff861c3280008e{"ppm": 451, "dt": "2020-11-25T18:09:23.663973"}
ff861c6280008b{"ppm": 454, "dt": "2020-11-25T18:09:55.724185"}
ff861c6280008b{"ppm": 454, "dt": "2020-11-25T18:10:27.784025"}
ff861c5280008c{"ppm": 453, "dt": "2020-11-25T18:10:59.844455"}
ff861c6280008b{"ppm": 454, "dt": "2020-11-25T18:11:31.905168"}
ff861c82800089{"ppm": 456, "dt": "2020-11-25T18:12:03.966108"}
ff861c92800088{"ppm": 457, "dt": "2020-11-25T18:12:36.011333"}
ff861c6280008b{"ppm": 454, "dt": "2020-11-25T18:13:08.050804"}
ff861c6280008b{"ppm": 454, "dt": "2020-11-25T18:13:40.111187"}
ff861c12800090{"ppm": 449, "dt": "2020-11-25T18:14:12.171207"}
ff861bf2800092{"ppm": 447, "dt": "2020-11-25T18:14:44.231961"}
ff861c02800091{"ppm": 448, "dt": "2020-11-25T18:15:16.291996"}
ff861c2280008f{"ppm": 450, "dt": "2020-11-25T18:15:48.352805"}
ff861c5280008c{"ppm": 453, "dt": "2020-11-25T18:16:20.413123"}
ff861c7280008a{"ppm": 455, "dt": "2020-11-25T18:16:52.473684"}
ff861c5280008c{"ppm": 453, "dt": "2020-11-25T18:17:24.531163"}
ff861c4280008d{"ppm": 452, "dt": "2020-11-25T18:17:56.591144"}
ff861c3280008e{"ppm": 451, "dt": "2020-11-25T18:18:28.651145"}
ff861c12800090{"ppm": 449, "dt": "2020-11-25T18:19:00.711093"}
ff861c12800090{"ppm": 449, "dt": "2020-11-25T18:19:32.771844"}
ff861be2801092{"ppm": 446, "dt": "2020-11-25T18:20:04.832147"}
ff861bc2801094{"ppm": 444, "dt": "2020-11-25T18:20:36.892468"}
ff861b92801097{"ppm": 441, "dt": "2020-11-25T18:21:08.952738"}
ff861bd2801093{"ppm": 445, "dt": "2020-11-25T18:21:41.010249"}
